numCommande;nomClient;numTelClient;mailClient;adresseClient;codePostalClient;villeClient;dateCommande;datePaiement;dateRealisation;nomDestinataire;numTelDestinataire;adresseDestinataire;codePostalDestinataire;villeDestinataire;dateLivraisonEffective
127;Boutique Bazar et Création;"0759759346";bazar_et_création@sfr.fr;38, Rue Victor Hugo;69200;Vénissieux;26/10/2021;29/10/2021;04/11/2021;;"";;;;
128;Fournier;"0732561177";fournier@yahoo.com;36, Boulevard de la Paix;69160;Tassin-la-Demi-Lune;26/10/2021;29/10/2021;05/11/2021;;"";;;;
129;Dehousse;"0691450450";dehousse@sfr.fr;27, Avenue de Wagram;69190;Saint-Fons;26/10/2021;04/11/2021;10/11/2021;Dehousse;"0691450450";27, Avenue de Wagram;69190;Saint-Fons;10/11/2021
130;Boutique Comptoir de Mode;"0660162941";comptoir_de_mode@gmail.com;13, Rue Saint-Sébastien;69230;Saint-Genis-Laval;26/10/2021;05/11/2021;10/11/2021;Boutique Comptoir de Mode;"0660162941";13, Rue Saint-Sébastien;69230;Saint-Genis-Laval;10/11/2021
131;Schneider;"0668040251";schneider@bbox.fr;30, Avenue de Wagram;69290;Craponne;27/10/2021;02/11/2021;10/11/2021;Rochet;"0669381286";3, Rue des Fleurs;69280;Marcy-l'Étoile;10/11/2021
132;Boutique Coin Précieux;"0785431549";coin_précieux@sfr.fr;21, Avenue de Lowendal;69350;La Mulatière;27/10/2021;03/11/2021;04/11/2021;Boutique Coin Précieux;"0785431549";21, Avenue de Lowendal;69350;La Mulatière;08/11/2021
133;Restaurant Gourmet Voyageur;"0759379292";gourmet_voyageur@outlook.com;25, Rue des Infirmières;69001;Lyon 1er;27/10/2021;09/11/2021;10/11/2021;;"";;;;
134;Martinez;"0676324532";martinez@free.fr;26, Rue Saint-Lazare;69680;Chassieu;28/10/2021;09/11/2021;10/11/2021;;"";;;;
135;Lefevre;"0749019326";lefevre@protonmail.com;49, Rue du Progrès;69730;Genay;29/10/2021;29/10/2021;05/11/2021;Lefevre;"0749019326";49, Rue du Progrès;69730;Genay;10/11/2021
136;Benoît;"0641640798";benoît@laposte.net;7, Boulevard Pasteur;69160;Tassin-la-Demi-Lune;02/11/2021;02/11/2021;09/11/2021;Leblanc;"0711308496";23, Boulevard Jean Jaurès;69890;La Tour-de-Salvagny;10/11/2021
137;Boutique Tendance et Cie;"0766092349";tendance_et_cie@protonmail.com;28, Rue des Coquelicots;69680;Chassieu;02/11/2021;03/11/2021;10/11/2021;Boutique Tendance et Cie;"0766092349";28, Rue des Coquelicots;69680;Chassieu;10/11/2021
138;Rogers;"0642236192";rogers@orange.fr;15, Rue Saint-Gervais;69500;Bron;02/11/2021;09/11/2021;10/11/2021;Rogers;"0642236192";15, Rue Saint-Gervais;69500;Bron;10/11/2021
139;Meunier;"0661308877";meunier@hotmail.com;46, Boulevard des Résistants;69350;La Mulatière;02/11/2021;09/11/2021;10/11/2021;Meunier;"0661308877";46, Boulevard des Résistants;69350;La Mulatière;10/11/2021
140;Durand;"0796145775";durand@sfr.fr;11, Rue Sainte-Marie;69100;Villeurbanne;02/11/2021;09/11/2021;10/11/2021;Lucas;"0692075293";14, Boulevard de la Marne;69001;Lyon 1er;10/11/2021
141;Debord;"0724559153";debord@orange.fr;48, Avenue de Ségur;69005;Lyon 5eme;03/11/2021;08/11/2021;10/11/2021;Renault;"0785024707";32, Rue Saint-Charles;69140;Rillieux-la-Pape;10/11/2021
142;Bertin;"0773998194";bertin@laposte.net;18, Rue Pasteur;69009;Lyon 9eme;04/11/2021;09/11/2021;10/11/2021;;"";;;;
143;Gagnon;"0732683300";gagnon@outlook.com;2, Rue Saint-Simon;69680;Chassieu;04/11/2021;09/11/2021;10/11/2021;Gagnon;"0732683300";2, Rue Saint-Simon;69680;Chassieu;10/11/2021
144;Barbot;"0693879448";barbot@outlook.com;2, Rue des Commerçants;69008;Lyon 8eme;04/11/2021;09/11/2021;10/11/2021;Brun;"0612871619";49, Rue de la Lune;69130;Écully;10/11/2021
145;Dupuis;"0639509781";dupuis@bbox.fr;4, Rue Saint-Sébastien;69300;Caluire-et-Cuire;04/11/2021;09/11/2021;10/11/2021;Dupuis;"0639509781";4, Rue Saint-Sébastien;69300;Caluire-et-Cuire;10/11/2021
146;Rey;"0742332157";rey@sfr.fr;5, Rue de la Révolution;69680;Chassieu;04/11/2021;09/11/2021;10/11/2021;Picard;"0735607975";41, Rue des Merles;69290;Craponne;10/11/2021
147;Blanchard;"0668920585";blanchard@gmail.com;1, Rue de la Lune;69410;Champagne-au-Mont-d'Or;04/11/2021;09/11/2021;10/11/2021;Blanchard;"0668920585";1, Rue de la Lune;69410;Champagne-au-Mont-d'Or;10/11/2021
148;Restaurant Taverne du Palais;"0741911123";taverne_du_palais@hotmail.com;48, Avenue des Champs-Élysées;69001;Lyon 1er;05/11/2021;09/11/2021;10/11/2021;;"";;;;
149;Lucas;"0692075293";lucas@orange.fr;14, Boulevard de la Marne;69001;Lyon 1er;05/11/2021;09/11/2021;10/11/2021;;"";;;;
150;Boutique Parfum Secret;"0662111918";parfum_secret@yahoo.com;27, Rue des Bois;69006;Lyon 6eme;05/11/2021;09/11/2021;10/11/2021;Boutique Parfum Secret;"0662111918";27, Rue des Bois;69006;Lyon 6eme;10/11/2021
151;Moulin;"0676624893";moulin@outlook.com;40, Rue des Agriculteurs;69680;Chassieu;05/11/2021;09/11/2021;10/11/2021;Brochet;"0768399605";29, Boulevard des Alpes;69660;Collonges-au-Mont-d'Or;10/11/2021
152;Boutique Esprit Bohème;"0719312161";esprit_bohème@bbox.fr;8, Boulevard des Martyrs;69230;Saint-Genis-Laval;08/11/2021;08/11/2021;09/11/2021;Boutique Esprit Bohème;"0719312161";8, Boulevard des Martyrs;69230;Saint-Genis-Laval;10/11/2021
153;Boutique Fabrique de Rêves;"0648624826";fabrique_de_rêves@bbox.fr;47, Rue Sainte-Marie;69360;Solaize;08/11/2021;09/11/2021;10/11/2021;Boutique Fabrique de Rêves;"0648624826";47, Rue Sainte-Marie;69360;Solaize;10/11/2021
154;Restaurant Comptoir du Terroir;"0616248133";comptoir_du_terroir@laposte.net;4, Rue Saint-Sulpice;69540;Irigny;01/04/2022;04/04/2022;05/04/2022;;"";;;;
155;Restaurant Mets Épicuriens;"0734206304";mets_épicuriens@bbox.fr;15, Rue du 11 Novembre 1918;69380;Lissieu;01/04/2022;07/04/2022;18/04/2022;;"";;;;
156;Boutique Bazar et Création;"0759759346";bazar_et_création@sfr.fr;38, Rue Victor Hugo;69200;Vénissieux;01/04/2022;14/04/2022;19/04/2022;Boutique Bazar et Création;"0759759346";38, Rue Victor Hugo;69200;Vénissieux;20/04/2022
157;Renault;"0785024707";renault@orange.fr;32, Rue Saint-Charles;69140;Rillieux-la-Pape;01/04/2022;15/04/2022;27/04/2022;Renault;"0785024707";32, Rue Saint-Charles;69140;Rillieux-la-Pape;28/04/2022
158;Martinez;"0676324532";martinez@free.fr;26, Rue Saint-Lazare;69680;Chassieu;01/04/2022;15/04/2022;29/04/2022;Martinez;"0676324532";26, Rue Saint-Lazare;69680;Chassieu;29/04/2022
159;Meyer;"0610953253";meyer@orange.fr;16, Rue de la Chapelle;69160;Tassin-la-Demi-Lune;04/04/2022;11/04/2022;13/04/2022;Meyer;"0610953253";16, Rue de la Chapelle;69160;Tassin-la-Demi-Lune;13/04/2022
160;Vasseur;"0639070158";vasseur@free.fr;3, Rue des Métiers;69007;Lyon 7eme;04/04/2022;12/04/2022;25/04/2022;Vasseur;"0639070158";3, Rue des Métiers;69007;Lyon 7eme;27/04/2022
161;Guichard;"0773471827";guichard@orange.fr;39, Rue des Écoles;69009;Lyon 9eme;05/04/2022;15/04/2022;19/04/2022;Guichard;"0773471827";39, Rue des Écoles;69009;Lyon 9eme;19/04/2022
162;Boutique Comptoir de Mode;"0660162941";comptoir_de_mode@gmail.com;13, Rue Saint-Sébastien;69230;Saint-Genis-Laval;05/04/2022;18/04/2022;29/04/2022;Boutique Comptoir de Mode;"0660162941";13, Rue Saint-Sébastien;69230;Saint-Genis-Laval;29/04/2022
163;Renaud;"0658743912";renaud@icloud.com;48, Boulevard de la Marne;69003;Lyon 3eme;06/04/2022;;;;"";;;;
164;Deleuze;"0637130330";deleuze@yahoo.com;33, Rue des Ouvriers;69380;Lissieu;06/04/2022;06/04/2022;20/04/2022;Lefevre;"0749019326";49, Rue du Progrès;69730;Genay;25/04/2022
165;Simon;"0785242019";simon@yahoo.com;40, Rue des Orchidées;69290;Craponne;06/04/2022;11/04/2022;19/04/2022;;"";;;;
166;Boutique Fabrique de Rêves;"0648624826";fabrique_de_rêves@bbox.fr;47, Rue Sainte-Marie;69360;Solaize;06/04/2022;11/04/2022;22/04/2022;Boutique Fabrique de Rêves;"0648624826";47, Rue Sainte-Marie;69360;Solaize;27/04/2022
167;Mallet;"0764950337";mallet@outlook.com;25, Rue Saint-Jean;69650;Saint-Germain-au-Mont-d'Or;06/04/2022;20/04/2022;29/04/2022;;"";;;;
168;Vallée;"0620818268";vallée@icloud.com;47, Rue du Général de Gaulle;69008;Lyon 8eme;07/04/2022;07/04/2022;21/04/2022;Vallée;"0620818268";47, Rue du Général de Gaulle;69008;Lyon 8eme;21/04/2022
169;Martin;"0635242367";martin@sfr.fr;31, Rue des Poilus;69150;Décines-Charpieu;07/04/2022;11/04/2022;20/04/2022;Breton;"0681031092";47, Rue du Général de Gaulle;69150;Décines-Charpieu;20/04/2022
170;Boutique Bazar et Création;"0759759346";bazar_et_création@sfr.fr;38, Rue Victor Hugo;69200;Vénissieux;07/04/2022;18/04/2022;29/04/2022;Boutique Bazar et Création;"0759759346";38, Rue Victor Hugo;69200;Vénissieux;29/04/2022
171;Benedetti;"0781632325";benedetti@hotmail.com;43, Rue des Orchidées;69520;Grigny-sur-Rhône;08/04/2022;11/04/2022;12/04/2022;Sanchez;"0795748511";41, Boulevard de la République;69780;Mions;14/04/2022
172;Boutique Bazar et Création;"0759759346";bazar_et_création@sfr.fr;38, Rue Victor Hugo;69200;Vénissieux;11/04/2022;11/04/2022;20/04/2022;Boutique Bazar et Création;"0759759346";38, Rue Victor Hugo;69200;Vénissieux;20/04/2022
173;Benoit;"0732532085";benoit@protonmail.com;38, Rue Sainte-Catherine;69390;Vernaison;11/04/2022;13/04/2022;20/04/2022;;"";;;;
174;Dufresne;"0641178956";dufresne@free.fr;37, Boulevard des Pyrénées;69320;Feyzin;11/04/2022;18/04/2022;27/04/2022;Dufresne;"0641178956";37, Boulevard des Pyrénées;69320;Feyzin;28/04/2022
175;Boutique Parfum Secret;"0662111918";parfum_secret@yahoo.com;27, Rue des Bois;69006;Lyon 6eme;11/04/2022;21/04/2022;27/04/2022;Boutique Parfum Secret;"0662111918";27, Rue des Bois;69006;Lyon 6eme;27/04/2022
176;Rochet;"0669381286";rochet@sfr.fr;3, Rue des Fleurs;69280;Marcy-l'Étoile;11/04/2022;25/04/2022;29/04/2022;Rochet;"0669381286";3, Rue des Fleurs;69280;Marcy-l'Étoile;29/04/2022
177;Restaurant Festin Royal;"0677778735";festin_royal@hotmail.com;29, Avenue de la Libération;69190;Saint-Fons;12/04/2022;;;;"";;;;
178;Boutique Fabrique de Rêves;"0648624826";fabrique_de_rêves@bbox.fr;47, Rue Sainte-Marie;69360;Solaize;12/04/2022;19/04/2022;26/04/2022;Boutique Fabrique de Rêves;"0648624826";47, Rue Sainte-Marie;69360;Solaize;29/04/2022
179;Boutique Bazar et Création;"0759759346";bazar_et_création@sfr.fr;38, Rue Victor Hugo;69200;Vénissieux;13/04/2022;14/04/2022;20/04/2022;;"";;;;
180;Boutique Parfum Secret;"0662111918";parfum_secret@yahoo.com;27, Rue des Bois;69006;Lyon 6eme;13/04/2022;18/04/2022;20/04/2022;Boutique Parfum Secret;"0662111918";27, Rue des Bois;69006;Lyon 6eme;20/04/2022
181;Restaurant Artisan des Saveurs;"0694021431";artisan_des_saveurs@yahoo.com;8, Rue de la Révolution;69260;Charbonnières-les-Bains;13/04/2022;18/04/2022;27/04/2022;;"";;;;
182;Boutique Comptoir de Mode;"0660162941";comptoir_de_mode@gmail.com;13, Rue Saint-Sébastien;69230;Saint-Genis-Laval;13/04/2022;27/04/2022;29/04/2022;Boutique Comptoir de Mode;"0660162941";13, Rue Saint-Sébastien;69230;Saint-Genis-Laval;29/04/2022
183;Boutique Magasin Secret;"0755521343";magasin_secret@sfr.fr;34, Rue du Général de Gaulle;69007;Lyon 7eme;14/04/2022;19/04/2022;26/04/2022;Boutique Magasin Secret;"0755521343";34, Rue du Général de Gaulle;69007;Lyon 7eme;28/04/2022
184;Guitton;"0788433940";guitton@orange.fr;2, Boulevard des Déportés;69002;Lyon 2eme;14/04/2022;20/04/2022;29/04/2022;Guitton;"0788433940";2, Boulevard des Déportés;69002;Lyon 2eme;29/04/2022
185;Restaurant Jardin des Délices;"0716141429";jardin_des_délices@hotmail.com;19, Boulevard du Maréchal Pétain;69250;Neuville-sur-Saône;15/04/2022;19/04/2022;29/04/2022;;"";;;;
186;Moreau;"0626191708";moreau@orange.fr;5, Rue du 8 Mai 1945;69008;Lyon 8eme;18/04/2022;18/04/2022;25/04/2022;Moreau;"0626191708";5, Rue du 8 Mai 1945;69008;Lyon 8eme;28/04/2022
187;Boutique Atelier de Luxe;"0665727410";atelier_de_luxe@protonmail.com;49, Rue des Tilleuls;69120;Vaulx-en-Velin;18/04/2022;26/04/2022;29/04/2022;Boutique Atelier de Luxe;"0665727410";49, Rue des Tilleuls;69120;Vaulx-en-Velin;29/04/2022
188;Mottet;"0672745223";mottet@gmail.com;39, Rue des Agriculteurs;69330;Meyzieu;18/04/2022;28/04/2022;29/04/2022;;"";;;;
189;Lefevre;"0749019326";lefevre@protonmail.com;49, Rue du Progrès;69730;Genay;18/04/2022;28/04/2022;29/04/2022;Guerin;"0756352637";24, Rue des Étoiles;69540;Irigny;29/04/2022
190;Boutique Esprit Bohème;"0719312161";esprit_bohème@bbox.fr;8, Boulevard des Martyrs;69230;Saint-Genis-Laval;19/04/2022;21/04/2022;29/04/2022;Boutique Esprit Bohème;"0719312161";8, Boulevard des Martyrs;69230;Saint-Genis-Laval;29/04/2022
191;Gagnon;"0732683300";gagnon@outlook.com;2, Rue Saint-Simon;69680;Chassieu;19/04/2022;26/04/2022;29/04/2022;;"";;;;
192;Boutique Parfum Secret;"0662111918";parfum_secret@yahoo.com;27, Rue des Bois;69006;Lyon 6eme;19/04/2022;28/04/2022;29/04/2022;Boutique Parfum Secret;"0662111918";27, Rue des Bois;69006;Lyon 6eme;29/04/2022
193;Boutique Bazar et Création;"0759759346";bazar_et_création@sfr.fr;38, Rue Victor Hugo;69200;Vénissieux;19/04/2022;28/04/2022;29/04/2022;Boutique Bazar et Création;"0759759346";38, Rue Victor Hugo;69200;Vénissieux;29/04/2022
194;Restaurant Esprit du Sud;"0620605888";esprit_du_sud@protonmail.com;24, Boulevard Jean Jaurès;69410;Champagne-au-Mont-d'Or;20/04/2022;20/04/2022;25/04/2022;;"";;;;
195;Thibault;"0736092438";thibault@gmail.com;46, Rue de la Concorde;69190;Saint-Fons;20/04/2022;28/04/2022;29/04/2022;Thibault;"0736092438";46, Rue de la Concorde;69190;Saint-Fons;29/04/2022
196;Boutique Fabrique de Rêves;"0648624826";fabrique_de_rêves@bbox.fr;47, Rue Sainte-Marie;69360;Solaize;21/04/2022;28/04/2022;29/04/2022;;"";;;;
197;Boutique Comptoir de Mode;"0660162941";comptoir_de_mode@gmail.com;13, Rue Saint-Sébastien;69230;Saint-Genis-Laval;21/04/2022;28/04/2022;29/04/2022;Boutique Comptoir de Mode;"0660162941";13, Rue Saint-Sébastien;69230;Saint-Genis-Laval;29/04/2022
198;Boutique Parfum Secret;"0662111918";parfum_secret@yahoo.com;27, Rue des Bois;69006;Lyon 6eme;21/04/2022;28/04/2022;29/04/2022;Boutique Parfum Secret;"0662111918";27, Rue des Bois;69006;Lyon 6eme;29/04/2022
199;Rochet;"0669381286";rochet@sfr.fr;3, Rue des Fleurs;69280;Marcy-l'Étoile;22/04/2022;25/04/2022;29/04/2022;Leblanc;"0711308496";23, Boulevard Jean Jaurès;69890;La Tour-de-Salvagny;29/04/2022
200;Bertin;"0773998194";bertin@laposte.net;18, Rue Pasteur;69009;Lyon 9eme;22/04/2022;28/04/2022;29/04/2022;;"";;;;
201;Michel;"0622833179";michel@hotmail.com;25, Rue du Moulin;69680;Chassieu;22/04/2022;28/04/2022;29/04/2022;Michel;"0622833179";25, Rue du Moulin;69680;Chassieu;29/04/2022
202;Pires;"0652306693";pires@outlook.com;2, Rue Saint-Antoine;69120;Vaulx-en-Velin;22/04/2022;28/04/2022;29/04/2022;Jacquet;"0796799393";44, Rue des Soldats;69280;Marcy-l'Étoile;29/04/2022
203;Guilbert;"0619409883";guilbert@icloud.com;18, Rue de la Chapelle;69250;Neuville-sur-Saône;22/04/2022;28/04/2022;29/04/2022;Leclerc;"0610632417";26, Rue Saint-Nicolas;69004;Lyon 4eme;29/04/2022
204;Menet;"0658312903";menet@hotmail.com;24, Boulevard des Anglais;69006;Lyon 6eme;25/04/2022;25/04/2022;29/04/2022;;"";;;;
205;Boutique Perle Rare;"0668612082";perle_rare@orange.fr;27, Rue des Soldats;69500;Bron;25/04/2022;28/04/2022;29/04/2022;Boutique Perle Rare;"0668612082";27, Rue des Soldats;69500;Bron;29/04/2022
206;Rochet;"0669381286";rochet@sfr.fr;3, Rue des Fleurs;69280;Marcy-l'Étoile;25/04/2022;28/04/2022;29/04/2022;Rochet;"0669381286";3, Rue des Fleurs;69280;Marcy-l'Étoile;29/04/2022
207;Boutique Tendance et Cie;"0766092349";tendance_et_cie@protonmail.com;28, Rue des Coquelicots;69680;Chassieu;25/04/2022;28/04/2022;29/04/2022;Boutique Tendance et Cie;"0766092349";28, Rue des Coquelicots;69680;Chassieu;29/04/2022
208;François;"0658732580";françois@free.fr;43, Boulevard du Président Wilson;69890;La Tour-de-Salvagny;26/04/2022;26/04/2022;29/04/2022;Deleuze;"0637130330";33, Rue des Ouvriers;69380;Lissieu;29/04/2022
209;Boutique Fabrique de Rêves;"0648624826";fabrique_de_rêves@bbox.fr;47, Rue Sainte-Marie;69360;Solaize;26/04/2022;27/04/2022;29/04/2022;Boutique Fabrique de Rêves;"0648624826";47, Rue Sainte-Marie;69360;Solaize;29/04/2022
210;Dupuis;"0639509781";dupuis@bbox.fr;4, Rue Saint-Sébastien;69300;Caluire-et-Cuire;26/04/2022;28/04/2022;29/04/2022;Dupuis;"0639509781";4, Rue Saint-Sébastien;69300;Caluire-et-Cuire;29/04/2022
211;Langlois;"0745199639";langlois@sfr.fr;18, Avenue de Ségur;69890;La Tour-de-Salvagny;26/04/2022;28/04/2022;29/04/2022;Aubry;"0755210517";46, Rue des Agriculteurs;69580;Sathonay-Village;29/04/2022
212;Boutique Comptoir de Mode;"0660162941";comptoir_de_mode@gmail.com;13, Rue Saint-Sébastien;69230;Saint-Genis-Laval;26/04/2022;28/04/2022;29/04/2022;Boutique Comptoir de Mode;"0660162941";13, Rue Saint-Sébastien;69230;Saint-Genis-Laval;29/04/2022
213;Chapman;"0648204390";chapman@yahoo.com;8, Rue des Bois;69760;Limonest;26/04/2022;28/04/2022;29/04/2022;Royer;"0725836057";39, Rue des Rossignols;69002;Lyon 2eme;29/04/2022
214;Mercier;"0779581408";mercier@hotmail.com;47, Rue des Médecins;69280;Marcy-l'Étoile;26/04/2022;28/04/2022;29/04/2022;Richard;"0635337022";2, Rue Saint-Sauveur;69960;Corbas;29/04/2022
215;Restaurant Gourmet Voyageur;"0759379292";gourmet_voyageur@outlook.com;25, Rue des Infirmières;69001;Lyon 1er;27/04/2022;28/04/2022;29/04/2022;;"";;;;
216;Benoît;"0641640798";benoît@laposte.net;7, Boulevard Pasteur;69160;Tassin-la-Demi-Lune;27/04/2022;28/04/2022;29/04/2022;Benoît;"0641640798";7, Boulevard Pasteur;69160;Tassin-la-Demi-Lune;29/04/2022
217;Meyer;"0610953253";meyer@orange.fr;16, Rue de la Chapelle;69160;Tassin-la-Demi-Lune;27/04/2022;28/04/2022;29/04/2022;Rogers;"0642236192";15, Rue Saint-Gervais;69500;Bron;29/04/2022
218;Boutique Instant Précieux;"0613845064";instant_précieux@free.fr;37, Rue Saint-Gervais;69730;Genay;27/04/2022;28/04/2022;29/04/2022;Boutique Instant Précieux;"0613845064";37, Rue Saint-Gervais;69730;Genay;29/04/2022
219;Petit;"0688609527";petit@orange.fr;20, Rue Saint-Maurice;69380;Lissieu;27/04/2022;28/04/2022;29/04/2022;Boutin;"0641072522";35, Rue Saint-Charles;69001;Lyon 1er;29/04/2022
220;Restaurant Jardin des Délices;"0716141429";jardin_des_délices@hotmail.com;19, Boulevard du Maréchal Pétain;69250;Neuville-sur-Saône;01/12/2022;;;;"";;;;
221;Bernard;"0798767626";bernard@sfr.fr;30, Avenue de Nantes;69540;Irigny;01/12/2022;09/12/2022;16/12/2022;;"";;;;
222;Guilbert;"0619409883";guilbert@icloud.com;18, Rue de la Chapelle;69250;Neuville-sur-Saône;01/12/2022;14/12/2022;26/12/2022;Montel;"0624769746";21, Rue des Étoiles;69009;Lyon 9eme;27/12/2022
223;Meyer;"0610953253";meyer@orange.fr;16, Rue de la Chapelle;69160;Tassin-la-Demi-Lune;02/12/2022;02/12/2022;08/12/2022;Meyer;"0610953253";16, Rue de la Chapelle;69160;Tassin-la-Demi-Lune;09/12/2022
224;Martin;"0635242367";martin@sfr.fr;31, Rue des Poilus;69150;Décines-Charpieu;02/12/2022;08/12/2022;22/12/2022;Martin;"0635242367";31, Rue des Poilus;69150;Décines-Charpieu;23/12/2022
225;Boutique Perle Rare;"0668612082";perle_rare@orange.fr;27, Rue des Soldats;69500;Bron;02/12/2022;13/12/2022;15/12/2022;Boutique Perle Rare;"0668612082";27, Rue des Soldats;69500;Bron;19/12/2022
226;Gautier;"0687778853";gautier@outlook.com;25, Rue des Cigognes;69110;Sainte-Foy-lès-Lyon;02/12/2022;13/12/2022;21/12/2022;Hernandez;"0630992042";25, Boulevard de Verdun;69100;Villeurbanne;22/12/2022
227;Restaurant Mets Épicuriens;"0734206304";mets_épicuriens@bbox.fr;15, Rue du 11 Novembre 1918;69380;Lissieu;02/12/2022;14/12/2022;28/12/2022;;"";;;;
228;Boutique Tendance et Cie;"0766092349";tendance_et_cie@protonmail.com;28, Rue des Coquelicots;69680;Chassieu;02/12/2022;15/12/2022;26/12/2022;Boutique Tendance et Cie;"0766092349";28, Rue des Coquelicots;69680;Chassieu;28/12/2022
229;Rivière;"0672516067";rivière@bbox.fr;1, Rue Saint-Joseph;69650;Saint-Germain-au-Mont-d'Or;06/12/2022;07/12/2022;21/12/2022;Rivière;"0672516067";1, Rue Saint-Joseph;69650;Saint-Germain-au-Mont-d'Or;21/12/2022
230;Thibault;"0736092438";thibault@gmail.com;46, Rue de la Concorde;69190;Saint-Fons;06/12/2022;08/12/2022;15/12/2022;Thibault;"0736092438";46, Rue de la Concorde;69190;Saint-Fons;15/12/2022
231;Simon;"0785242019";simon@yahoo.com;40, Rue des Orchidées;69290;Craponne;06/12/2022;15/12/2022;21/12/2022;Benoît;"0641640798";7, Boulevard Pasteur;69160;Tassin-la-Demi-Lune;26/12/2022
232;Boutique Parfum Secret;"0662111918";parfum_secret@yahoo.com;27, Rue des Bois;69006;Lyon 6eme;07/12/2022;09/12/2022;12/12/2022;Boutique Parfum Secret;"0662111918";27, Rue des Bois;69006;Lyon 6eme;14/12/2022
233;Durand;"0796145775";durand@sfr.fr;11, Rue Sainte-Marie;69100;Villeurbanne;07/12/2022;14/12/2022;26/12/2022;Durand;"0796145775";11, Rue Sainte-Marie;69100;Villeurbanne;26/12/2022
234;Chauvin;"0730466148";chauvin@orange.fr;33, Rue des Chênes;69660;Collonges-au-Mont-d'Or;07/12/2022;16/12/2022;23/12/2022;Chauvin;"0730466148";33, Rue des Chênes;69660;Collonges-au-Mont-d'Or;27/12/2022
235;Restaurant Saveurs Italiennes;"0615865995";saveurs_italiennes@laposte.net;11, Rue des Peupliers;69540;Irigny;07/12/2022;20/12/2022;23/12/2022;;"";;;;
236;Caron;"0736175261";caron@sfr.fr;6, Boulevard des Ardennes;69500;Bron;08/12/2022;19/12/2022;29/12/2022;;"";;;;
237;Lemoine;"0715303722";lemoine@orange.fr;29, Rue Saint-Nicolas;69110;Sainte-Foy-lès-Lyon;08/12/2022;21/12/2022;29/12/2022;;"";;;;
238;Restaurant Taverne du Palais;"0741911123";taverne_du_palais@hotmail.com;48, Avenue des Champs-Élysées;69001;Lyon 1er;08/12/2022;22/12/2022;29/12/2022;;"";;;;
239;Sanchez;"0795748511";sanchez@sfr.fr;41, Boulevard de la République;69780;Mions;09/12/2022;12/12/2022;26/12/2022;Sanchez;"0795748511";41, Boulevard de la République;69780;Mions;26/12/2022
240;Petit;"0688609527";petit@orange.fr;20, Rue Saint-Maurice;69380;Lissieu;09/12/2022;14/12/2022;19/12/2022;Henry;"0688084294";21, Rue des Résistants;69200;Vénissieux;20/12/2022
241;Moreau;"0626191708";moreau@orange.fr;5, Rue du 8 Mai 1945;69008;Lyon 8eme;09/12/2022;14/12/2022;20/12/2022;;"";;;;
242;Brun;"0612871619";brun@outlook.com;49, Rue de la Lune;69130;Écully;09/12/2022;22/12/2022;29/12/2022;Brun;"0612871619";49, Rue de la Lune;69130;Écully;29/12/2022
243;Goutte;"0679991674";goutte@sfr.fr;12, Boulevard Aristide Briand;69890;La Tour-de-Salvagny;09/12/2022;22/12/2022;29/12/2022;Gros;"0730578978";50, Rue Saint-Denis;69320;Feyzin;29/12/2022
244;Boutique Instant Précieux;"0613845064";instant_précieux@free.fr;37, Rue Saint-Gervais;69730;Genay;09/12/2022;22/12/2022;29/12/2022;Boutique Instant Précieux;"0613845064";37, Rue Saint-Gervais;69730;Genay;29/12/2022
245;Boutique Bazar et Création;"0759759346";bazar_et_création@sfr.fr;38, Rue Victor Hugo;69200;Vénissieux;12/12/2022;12/12/2022;22/12/2022;;"";;;;
246;Guitton;"0788433940";guitton@orange.fr;2, Boulevard des Déportés;69002;Lyon 2eme;12/12/2022;13/12/2022;21/12/2022;Rey;"0742332157";5, Rue de la Révolution;69680;Chassieu;23/12/2022
247;Boutique Éclat et Élégance;"0735456380";éclat_et_élégance@protonmail.com;8, Rue des Merles;69007;Lyon 7eme;12/12/2022;14/12/2022;22/12/2022;Boutique Éclat et Élégance;"0735456380";8, Rue des Merles;69007;Lyon 7eme;22/12/2022
248;Boutique Atelier de Luxe;"0665727410";atelier_de_luxe@protonmail.com;49, Rue des Tilleuls;69120;Vaulx-en-Velin;12/12/2022;15/12/2022;20/12/2022;Boutique Atelier de Luxe;"0665727410";49, Rue des Tilleuls;69120;Vaulx-en-Velin;20/12/2022
249;Chanteux;"0653511894";chanteux@yahoo.com;23, Rue Saint-Antoine;69130;Écully;12/12/2022;21/12/2022;27/12/2022;Chanteux;"0653511894";23, Rue Saint-Antoine;69130;Écully;29/12/2022
250;Petit;"0688609527";petit@orange.fr;20, Rue Saint-Maurice;69380;Lissieu;12/12/2022;22/12/2022;29/12/2022;Petit;"0688609527";20, Rue Saint-Maurice;69380;Lissieu;29/12/2022
251;Bertin;"0773998194";bertin@laposte.net;18, Rue Pasteur;69009;Lyon 9eme;12/12/2022;26/12/2022;29/12/2022;Bois;"0729172337";2, Rue des Médecins;69410;Champagne-au-Mont-d'Or;29/12/2022
252;Boutique Comptoir de Mode;"0660162941";comptoir_de_mode@gmail.com;13, Rue Saint-Sébastien;69230;Saint-Genis-Laval;13/12/2022;15/12/2022;23/12/2022;Boutique Comptoir de Mode;"0660162941";13, Rue Saint-Sébastien;69230;Saint-Genis-Laval;26/12/2022
